ctyua19cd,ctyua19nm,long,lat
E06000001,Hartlepool,-1.27023,54.676159
E06000002,Middlesbrough,-1.21099,54.54467
E06000003,Redcar and Cleveland,-1.00611,54.56752
E06000004,Stockton-on-Tees,-1.30669,54.556911
E06000010,"Kingston upon Hull, City of",-0.3038,53.769791
E06000011,East Riding of Yorkshire,-0.66203,53.881222
E06000005,Darlington,-1.56835,54.535339
E06000006,Halton,-2.68853,53.33424
E08000009,Trafford,-2.36572,53.41671
E06000007,Warrington,-2.56167,53.391628
E06000008,Blackburn with Darwen,-2.4636,53.700802
E06000009,Blackpool,-3.02284,53.821609
E06000012,North East Lincolnshire,-0.13927,53.523361
E06000014,York,-1.07375,53.96582
E06000015,Derby,-1.47189,52.914639
E06000013,North Lincolnshire,-0.5241,53.586449
E06000016,Leicester,-1.1304,52.635921
E06000017,Rutland,-0.6263,52.667648
E06000018,Nottingham,-1.16667,52.954189
E06000019,"Herefordshire, County of",-2.73931,52.081539
E06000020,Telford and Wrekin,-2.48941,52.714169
E06000021,Stoke-on-Trent,-2.15888,53.017071
E06000032,Luton,-0.42319,51.891022
E06000022,Bath and North East Somerset,-2.48654,51.356041
E06000033,Southend-on-Sea,0.706906,51.549141
E06000023,"Bristol, City of",-3,50
E06000034,Thurrock,0.334902,51.509941
E06000024,North Somerset,-3,50
E06000035,Medway,0.563173,51.447708
E06000036,Bracknell Forest,-0.73363,51.411301
E06000025,South Gloucestershire,-2.46922,51.546711
E06000039,Slough,-0.57617,51.503502
E09000005,Brent,-0.27568,51.564411
E06000026,Plymouth,-4.11299,50.404942
E06000040,Windsor and Maidenhead,-0.67541,51.480339
E06000027,Torbay,-3.55523,50.470879
E06000041,Wokingham,-0.89935,51.422958
E06000030,Swindon,-1.73367,51.577629
E06000031,Peterborough,-0.26874,52.59214
E06000037,West Berkshire,-1.27364,51.445591
E06000038,Reading,-0.99071,51.453018
E06000042,Milton Keynes,-0.7407,52.072411
E06000043,Brighton and Hove,-0.15079,50.846489
E08000002,Bury,-2.3088,53.593102
E06000044,Portsmouth,-1.07023,50.808048
E06000045,Southampton,-1.40025,50.92038
E06000046,Isle of Wight,-1.33366,50.671291
E06000047,County Durham,-1.8405,54.685131
E06000049,Cheshire East,-2.29299,53.167931
E06000050,Cheshire West and Chester,-2.70298,53.163361
E06000051,Shropshire,-2.73667,52.62212
E06000052,Cornwall,-4.64249,50.45023
E06000053,Isles of Scilly,-6.30217,49.923321
E06000054,Wiltshire,-1.92661,51.328831
E09000010,Enfield,-0.08147,51.64888
E06000055,Bedford,-0.45463,52.196281
E08000001,Bolton,-2.47952,53.584492
E06000056,Central Bedfordshire,-0.47754,51.999031
E06000057,Northumberland,-2.07521,55.300369
E09000022,Lambeth,-0.11385,51.46442
E06000058,"Bournemouth, Christchurch and Poole",-1.84807,50.74609
E06000059,Dorset,-2.41467,50.79697
E08000022,North Tyneside,-1.50923,55.028961
E08000003,Manchester,-2.23359,53.470089
E08000004,Oldham,-2.05274,53.557678
E08000008,Tameside,-2.077,53.478668
E08000005,Rochdale,-2.14784,53.60741
E08000006,Salford,-2.38485,53.479271
E08000007,Stockport,-2.12467,53.391159
E08000010,Wigan,-2.57247,53.51445
E08000011,Knowsley,-2.83297,53.437881
E08000012,Liverpool,-2.91364,53.408298
E08000013,St. Helens,-2.7031,53.458618
E08000014,Sefton,-2.99204,53.482101
E09000032,Wandsworth,-0.20021,51.452389
E08000015,Wirral,-3.06502,53.374538
E08000016,Barnsley,-1.54925,53.525768
E09000033,Westminster,-0.15295,51.512211
E10000002,Buckinghamshire,-0.80569,51.769661
E10000003,Cambridgeshire,-0.23506,52.349659
E10000006,Cumbria,-2.90218,54.63826
E10000007,Derbyshire,-1.6021,53.078579
E08000017,Doncaster,-1.10894,53.52697
E08000018,Rotherham,-1.28651,53.395531
E10000008,Devon,-3.65701,50.725559
E10000011,East Sussex,0.33453,50.93832
E10000012,Essex,0.541046,51.809818
E10000013,Gloucestershire,-2.15235,51.81971
E08000019,Sheffield,-1.54254,53.40358
E08000021,Newcastle upon Tyne,-1.65297,55.021011
E08000023,South Tyneside,-1.44696,54.969879
E10000014,Hampshire,-1.24736,51.044731
E08000024,Sunderland,-1.43344,54.857201
E08000025,Birmingham,-1.88141,52.484039
E10000015,Hertfordshire,-0.27699,51.808788
E10000016,Kent,0.721553,51.192902
