AREACD,AREANM,pop
S08000015,Ayrshire and Arran,369670
S08000016,Borders,115270
S08000017,Dumfries and Galloway,148790
S08000029,Fife,371910
S08000019,Forth Valley,306070
S08000020,Grampian,584550
S08000021,Greater Glasgow and Clyde,1174980
S08000022,Highland,321800
S08000023,Lanarkshire,659200
S08000024,Lothian,897770
S08000025,Orkney,22190
S08000026,Shetland,22990
S08000030,Tayside,416080
S08000028,Western Isles,26830
E10000006,Cumbria,498888
E10000017,Lancashire,1210053
E10000023,North Yorkshire,614505
E10000007,Derbyshire,796142
E10000018,Leicestershire,698268
E10000019,Lincolnshire,755833
E10000021,Northamptonshire,747622
E10000024,Nottinghamshire,823126
E10000028,Staffordshire,875219
E10000031,Warwickshire,571010
E10000034,Worcestershire,592057
E10000003,Cambridgeshire,651482
E10000012,Essex,1477764
E10000015,Hertfordshire,1184365
E10000020,Norfolk,903680
E10000029,Suffolk,758556
E10000002,Buckinghamshire,540059
E10000011,East Sussex,554590
E10000014,Hampshire,1376316
E10000016,Kent,1568623
E10000025,Oxfordshire,687524
E10000030,Surrey,1189934
E10000032,West Sussex,858852
E10000008,Devon,795286
E10000013,Gloucestershire,633558
E10000027,Somerset,559399
N09000001,Antrim and Newtownabbey,142492
N09000011,Ards and North Down,160864
N09000002,"Armagh City, Banbridge and Craigavon",214090
N09000003,Belfast,341877
N09000004,Causeway Coast and Glens,144246
N09000005,Derry City and Strabane,150679
N09000006,Fermanagh and Omagh,116835
N09000007,Lisburn and Castlereagh,144381
N09000008,Mid and East Antrim,138773
N09000009,Mid Ulster,147392
N09000010,"Newry, Mourne and Down",180012
E09000007,Camden,262226
E09000001,City of London,8706
E09000012,Hackney,279665
E09000013,Hammersmith and Fulham,185426
E09000014,Haringey,270624
E09000019,Islington,239142
E09000020,Kensington and Chelsea,156197
E09000022,Lambeth,325917
E09000023,Lewisham,303536
E09000025,Newham,352005
E09000028,Southwark,317256
E09000030,Tower Hamlets,317705
E09000032,Wandsworth,326474
E09000033,Westminster,255324
E09000002,Barking and Dagenham,211998
E09000003,Barnet,392140
E09000004,Bexley,247258
E09000005,Brent,330795
E09000006,Bromley,331096
E09000008,Croydon,385346
E09000009,Ealing,341982
E09000010,Enfield,333869
