chart_title,group,newcases,existing
25-34,31/01/2020,2,0
25-34,01/02/2020,0,2
25-34,02/02/2020,0,2
25-34,03/02/2020,0,2
25-34,04/02/2020,0,2
25-34,05/02/2020,0,2
25-34,06/02/2020,1,2
25-34,07/02/2020,0,3
25-34,08/02/2020,0,3
25-34,09/02/2020,1,3
25-34,10/02/2020,4,4
25-34,11/02/2020,0,8
25-34,12/02/2020,0,8
25-34,13/02/2020,1,8
25-34,14/02/2020,0,9
25-34,15/02/2020,0,9
25-34,16/02/2020,0,9
25-34,17/02/2020,0,9
25-34,18/02/2020,0,9
25-34,19/02/2020,0,9
25-34,20/02/2020,0,9
25-34,21/02/2020,0,9
25-34,22/02/2020,0,9
25-34,23/02/2020,0,9
25-34,24/02/2020,4,9
25-34,25/02/2020,0,13
25-34,26/02/2020,0,13
25-34,27/02/2020,0,13
25-34,28/02/2020,6,13
25-34,29/02/2020,4,19
25-34,01/03/2020,12,23
25-34,02/03/2020,5,35
25-34,03/03/2020,11,40
25-34,04/03/2020,34,51
25-34,05/03/2020,29,85
25-34,06/03/2020,46,114
25-34,07/03/2020,46,160
25-34,08/03/2020,65,206
25-34,09/03/2020,50,271
25-34,10/03/2020,52,321
25-34,11/03/2020,83,373
25-34,12/03/2020,134,456
